beachName,mean_ecoli,max_ecoli,unsafe_rate,n_samples,norm_unsafe,norm_ecoli,norm_samples,risk_score,priority
Sunnyside Beach,72.30433316472771,135.0,0.3587927836789749,11862,0.3587927836789749,1.0,0.9913915587129126,0.67767470358207,High
Marie Curtis Park East Beach,67.8125,135.0,0.35555799648506153,9104,0.35555799648506153,0.9378760169948022,0.7608859172586712,0.6113189867927057,High
Kew Balmy Beach,45.38077726702883,135.0,0.19523610530714583,11965,0.19523610530714583,0.627635651706238,1.0,0.4859087481654443,High
Centre Island Beach,48.02692011866828,135.0,0.19514339083617185,9101,0.19514339083617185,0.664232944507637,0.7606351859590472,0.4489686159621865,High
Bluffer's Beach Park,36.04130228637657,135.0,0.13022863765672743,9491,0.13022863765672743,0.49846669914326286,0.7932302549101546,0.3733003795533735,Medium
Woodbine Beaches,32.99047256097561,135.0,0.10823170731707317,10496,0.10823170731707317,0.45627241296610677,0.8772252402841622,0.366442625605201,Medium
Ward's Island Beach,31.76164115923152,135.0,0.0990990990990991,9213,0.0990990990990991,0.43927714659743006,0.7699958211450063,0.33533185775777985,Low
Cherry Beach,30.110076383802447,135.0,0.08737051375954798,9557,0.08737051375954798,0.41643529600368506,0.7987463435018805,0.3283651143812556,Low
Hanlan's Point Beach,29.615897660179314,135.0,0.08200306144762738,9146,0.08200306144762738,0.40960059188578296,0.7643961554534058,0.31676093938022976,Low
Gibraltar Point Beach,26.378048780487806,135.0,0.059534368070953435,9020,0.059534368070953435,0.3648197504344848,0.7538654408692018,0.2899861973396625,Low
